City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Arraial Do Cabo,BR,67.96,clear sky,-22.97,-42.03,Pousada Porto Praia
204,Faanui,PF,78.69,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
209,San Isidro,PE,63.99,broken clouds,-12.12,-77.05,Soul Mate-Inn
215,Puerto Suarez,BO,73.76,clear sky,-18.95,-57.8,Hotel casa real
216,Tamandare,BR,75.74,scattered clouds,-8.76,-35.1,Pousada 100 Passos
223,Samarai,PG,79.48,overcast clouds,-10.62,150.67,Nuli Sapi
224,Vila Franca Do Campo,PT,70.21,broken clouds,37.72,-25.43,Pestana Bahia Praia
227,Omboue,GA,73.45,broken clouds,-1.57,9.26,Hotel Olako
228,Atherton,GB,73.54,clear sky,53.52,-2.49,The Lion Inn
229,Krasnyy Oktyabr,RU,70.29,light rain,56.12,38.88,Priozernaya Hotel
231,Antsohihy,MG,74.7,overcast clouds,-14.88,47.99,Hotel de Ville
232,Perivolion,GR,74.75,clear sky,39.42,20.01,Family Studios
233,Ambilobe,MG,67.23,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
235,Monrovia,LR,76.77,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
238,Port-Gentil,GA,75.16,scattered clouds,-0.72,8.78,Fengshui Residence
241,Zhongshu,CN,60.26,light rain,24.52,103.77,Xintianlong Hotel
243,Taikang,CN,75.33,overcast clouds,46.83,124.42,Jia Hotel
244,Ayagoz,KZ,63.7,few clouds,47.97,80.44,Gostinitsa Nur
245,Newport,GB,73.18,clear sky,51.59,-3.0,ibis budget Newport
248,Saint-Pierre,RE,71.28,few clouds,-21.34,55.48,Lindsey Hôtel
251,Sao Filipe,CV,75.04,scattered clouds,14.9,-24.5,Hotel Xaguate
255,Ferrol,ES,67.26,few clouds,43.48,-8.24,Carrís Almirante
256,Tripoli,LY,77.72,clear sky,32.88,13.19,Al Waddan Hotel
257,Japura,ID,73.45,overcast clouds,-0.32,102.35,Rumah mbah Jamah
258,Boffa,GN,76.62,broken clouds,10.17,-14.03,Hôtel Niara Belly
259,Shihezi,CN,76.91,light rain,44.3,86.03,Home Inn Shihezi Dongwu Road Century Square
262,Mnisek Pod Brdy,CZ,60.08,clear sky,49.87,14.26,Esmarin wellness hotel
263,Masallatah,LY,72.95,clear sky,32.62,14.0,Mohamed Ahmed Salem
265,Stratford-Upon-Avon,GB,74.8,few clouds,52.19,-1.71,DoubleTree by Hilton Stratford-upon-Avon
270,Kaihua,CN,63.43,overcast clouds,23.37,104.28,Zhongyu Hotel
275,Anamur,TR,78.82,clear sky,36.08,32.84,Luna Piena Beach Hotel
276,Cerro Punta,PA,64.65,overcast clouds,8.85,-82.57,Cielito Sur Bed & Breakfast Inn
278,Kampong Thum,KH,75.09,overcast clouds,12.71,104.89,Sambor Village Hotel
280,Faya,SA,60.91,overcast clouds,18.39,42.45,مقبرة ال مجمل
281,Karratha,AU,67.87,overcast clouds,-20.74,116.85,ibis Styles Karratha
283,Usinsk,RU,61.11,broken clouds,65.99,57.53,Dobro Pozhalovaty
284,Smithers,CA,70.12,light rain,54.78,-127.17,"Prestige Hudson Bay Lodge, Premier Collection"
286,Labuhan,ID,77.16,scattered clouds,-6.88,112.21,Rumah Naqsa
